resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
contention,same CAS blob concurrent fetch/read,cold,v1,contention_path,DIAGNOSTIC,4.433488,4.5537775,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-002,,contention:synthetic:con-002
contention,multiple PM cache writers,cold,v1,contention_path,DIAGNOSTIC,147.689512,182.5839581,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-003,,contention:synthetic:con-003
contention,multiple dependency views,cold,v1,contention_path,DIAGNOSTIC,11365.093014,12391.875956,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-004,,contention:synthetic:con-004
contention,concurrent worktrees/checkouts,cold,v1,contention_path,DIAGNOSTIC,2291.424747,3354.4998062,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-005,,contention:synthetic:con-005
contention,concurrent BrowserContexts,cold,v1,contention_path,DIAGNOSTIC,1655.737047,2045.6962038999998,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-006,,contention:synthetic:con-006
contention,DB connections/private resets,cold,v1,contention_path,DIAGNOSTIC,320.650007,474.46193299999993,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-007,,contention:synthetic:con-007
contention,CPU/memory/disk saturation,cold,v1,contention_path,DIAGNOSTIC,83.840826,98.23286569999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-008,,contention:synthetic:con-008
contention,port allocator contention,cold,v1,contention_path,DIAGNOSTIC,3.612075,3.8973017,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-009,,contention:synthetic:con-009
contention,scheduler state lock contention,cold,v1,contention_path,DIAGNOSTIC,2.018244,2.2251457,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CON-010,,contention:synthetic:con-010
control_plane,CONTROL | 加载 resources/requirements/invalidation rules | 启动成本，不进入 profile edge,v1,v1,exact_hit,CONTROL,0.003525,0.0048857,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-001,control_plane:benchmark:ctl-001:default,control_plane:benchmark:ctl-001:default
control_plane,"CONTROL | 11,105 tasks 聚合为 Environment Groups | 初始化成本",v1,v1,exact_hit,CONTROL,0.000601,0.0007369999999999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-002,control_plane:benchmark:ctl-002:default,control_plane:benchmark:ctl-002:default
control_plane,CONTROL | 单轮 candidate enumeration | 每轮 overhead,v1,v1,exact_hit,CONTROL,0.000621,0.001035,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-003,control_plane:benchmark:ctl-003:default,control_plane:benchmark:ctl-003:default
control_plane,CONTROL | 单 candidate compatibility matching | planner overhead,v1,v1,exact_hit,CONTROL,0.000501,0.000567,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-004,control_plane:benchmark:ctl-004:default,control_plane:benchmark:ctl-004:default
control_plane,CONTROL | 单 candidate transition planning | planner overhead,v1,v1,exact_hit,CONTROL,0.000491,0.0006349999999999999,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-005,control_plane:benchmark:ctl-005:default,control_plane:benchmark:ctl-005:default
control_plane,CONTROL | invalidation graph 传播 | 不重复记资源重建时间,v1,v1,exact_hit,CONTROL,0.000441,0.0007299999999999997,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-006,control_plane:benchmark:ctl-006:default,control_plane:benchmark:ctl-006:default
control_plane,CONTROL | greedy selection/tie-break | 每轮 overhead,v1,v1,exact_hit,CONTROL,0.00049,0.000765,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,CTL-007,control_plane:benchmark:ctl-007:default,control_plane:benchmark:ctl-007:default
